UIDN,OIDN,Ondernemingsnr,Maatschappelijke_naam,Commerciele_naam,Afgekorte_naam,Ondernemingsnr_maatsch_zetel,Type_onderneming,Rechtsvorm,Rechtstoestand,KBO_Straat,KBO_Huisnr,KBO_Busnr,KBO_Postcode,KBO_Gemeente,AR_straat,AR_huisnr,AR_busnr,AR_postcode,NACE_hoofdact_BTW,NACE_versie_BTW,Omschrijving_hoofdact_BTW,Aantal_hoofdact_BTW,NACE_hoofdact_RSZ,NACE_Versie_RSZ,Omschrijving_hoofdact_RSZ,Aantal_Hoofdact_RSZ,Personeelsklasse,Datum_inschrijving,Startdatum,longitude,latitude
10467576,6203233,2351355521,"Pinas, Henriette",Henriette Pinas, ,1001838170, , , ,Toekomstlaan,217, ,2900,Schoten,Toekomstlaan,217, ,2900, , , ,0, , , ,0, ,2023-11-03T00:00:00Z,2023-11-02T00:00:00Z,4.46283399,51.24343464
10468019,6203676,2352216742,"Abrath, Edwig", , ,1002728491, , , ,Ruusbroecklei,5, ,2900,Schoten,Ruusbroecklei,5, ,2900, , , ,0, , , ,0, ,2023-11-28T00:00:00Z,2024-01-01T00:00:00Z,4.53170988,51.26437268
10468386,6204043,0801804869,"Vereniging van Mede-eigenaars van het gebouw te 2900 Schoten, Antoon Van Dijckstraat 12", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Antoon Van Dijckstraat,12, ,2900,Schoten,Antoon Van Dijckstraat,12, ,2900, , , ,0, , , ,0, ,2023-05-16T00:00:00Z,1995-08-01T00:00:00Z,4.47218825,51.2449769
10470900,6206557,2347683872,Force Majeure Consultancy,Force Majeure Consultancy, ,0802698358, , , ,Alfons Servaislei,10, ,2900,Schoten,Alfons Servaislei,10, ,2900, , , ,0, , , ,0, ,2023-07-31T00:00:00Z,2023-06-13T00:00:00Z,4.51639625,51.25375759
10471013,6206670,2347918355,"Robberechts, Sam",New Scene communication, ,0804630638, , , ,Plantijnlei,35,4,2900,Schoten,Plantijnlei,35,4,2900, , , ,0, , , ,0, ,2023-08-08T00:00:00Z,2023-08-07T00:00:00Z,4.46597992,51.24789972
10471113,6206770,2348149373,DPS Training,DPS Training, ,0803985389, , , ,Narcislaan,24, ,2900,Schoten,Narcislaan,24, ,2900, , , ,0, , , ,0, ,2023-08-17T00:00:00Z,2023-07-14T00:00:00Z,4.50839152,51.25962196
10472151,6207808,0804733477,Metropool Invest, , , ,Rechtspersoon,Naamloze vennootschap,Normale toestand,Bredabaan,1165, ,2900,Schoten,Bredabaan,1165, ,2900, , , ,0, , , ,0, ,2023-08-10T00:00:00Z,2023-08-10T00:00:00Z,4.46500558,51.26116559
10474198,6209855,0803563044,Wilma Capital Management, , , ,Rechtspersoon,Besloten Vennootschap,Normale toestand,Botermelkdijk,500, ,2900,Schoten,Botermelkdijk,500, ,2900, , , ,0, , , ,0, ,2023-07-04T00:00:00Z,2023-07-04T00:00:00Z,4.53599597,51.28225117
10474390,6210047,0804222644,ARGEA, , , ,Rechtspersoon,Vennootschap of vereniging zonder rechtspersoonlijkheid,Normale toestand,Bosschaert de Bouwellei,7, ,2900,Schoten,Bosschaert de Bouwellei,7, ,2900, , , ,0, , , ,0, ,2023-07-24T00:00:00Z,2023-05-05T00:00:00Z,4.54283118,51.2618345
10474635,6210292,0805319734,RE-Move Coaching VZW, , , ,Rechtspersoon,Vereniging zonder winstoogmerk,Normale toestand,Beemdenlaan,79, ,2900,Schoten,Beemdenlaan,79, ,2900, , , ,0, , , ,0, ,2023-08-31T00:00:00Z,2023-08-31T00:00:00Z,4.50524419,51.24431697
10474648,6210305,2352425885,Lexan Investments, , ,0803798715, , , ,Dennenweg,28, ,2900,Schoten,Dennenweg,28, ,2900, , , ,0, , , ,0, ,2023-12-04T00:00:00Z,2023-07-10T00:00:00Z,4.51480441,51.28042822
10474669,6210326,2352429746,JG RETAIL,Delhaize Schoten, ,1002365534, , , ,Theofiel Van Cauwenberghslei,90, ,2900,Schoten,Theofiel Van Cauwenberghslei,90, ,2900, , , ,0, , , ,0, ,2023-12-04T00:00:00Z,2024-03-15T00:00:00Z,4.50577627,51.25195021
10475029,6210686,2353282653,JOMCO,JOMCO, ,1003508550, , , ,Laarsebeekdreef,26, ,2900,Schoten,Laarsebeekdreef,26, ,2900, , , ,0, , , ,0, ,2023-12-27T00:00:00Z,2024-01-01T00:00:00Z,4.50779687,51.28521643
10475115,6210772,2353297204,PC Grafix,PC Grafix, ,1003421052, , , ,Adriaan Brouwerstraat,27, ,2900,Schoten,Adriaan Brouwerstraat,27, ,2900, , , ,0, , , ,0, ,2023-12-28T00:00:00Z,2023-12-14T00:00:00Z,4.47838936,51.24448187
